native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.077,0.01,7.798,0.08,0.011,0.076,0.005,1.04,1.09,PASS,rope_llama3_s1,1,0,base
0.009,0.006,1.383,0.009,0.009,0.008,0.006,1.1,1.38,PASS,rope_llama3_s1,1,0,new
0.009,0.006,1.548,0.01,0.007,0.009,0.006,1.06,1.11,PASS,rope_llama3_s1,1,1,new
0.081,0.011,7.507,0.082,0.028,0.078,0.006,1.02,2.63,PASS,rope_llama3_s1,1,1,base
0.077,0.01,7.44,0.081,0.011,0.075,0.006,1.06,1.06,PASS,rope_llama3_s1,1,2,base
0.009,0.007,1.436,0.01,0.007,0.009,0.006,1.12,1.09,PASS,rope_llama3_s1,1,2,new
0.008,0.006,1.328,0.01,0.006,0.007,0.006,1.36,1.07,PASS,rope_llama3_s1,1,3,new
0.079,0.01,7.543,0.1,0.011,0.078,0.006,1.27,1.07,PASS,rope_llama3_s1,1,3,base
0.076,0.01,7.625,0.082,0.01,0.075,0.006,1.08,1.02,PASS,rope_llama3_s1,1,4,base
0.008,0.006,1.396,0.009,0.006,0.008,0.005,1.12,1.04,PASS,rope_llama3_s1,1,4,new
0.075,0.01,7.502,0.077,0.01,0.074,0.006,1.03,1.04,PASS,rope_llama3_s1,8,0,base
0.006,0.005,1.328,0.007,0.005,0.006,0.004,1.13,1.04,PASS,rope_llama3_s1,8,0,new
0.008,0.006,1.28,0.009,0.008,0.008,0.006,1.12,1.26,PASS,rope_llama3_s1,8,1,new
0.071,0.007,10.671,0.072,0.008,0.07,0.004,1.02,1.13,PASS,rope_llama3_s1,8,1,base
0.074,0.01,7.609,0.075,0.011,0.073,0.006,1.02,1.09,PASS,rope_llama3_s1,8,2,base
0.006,0.005,1.342,0.007,0.005,0.006,0.004,1.1,1.09,PASS,rope_llama3_s1,8,2,new
0.006,0.004,1.364,0.007,0.005,0.006,0.004,1.15,1.11,PASS,rope_llama3_s1,8,3,new
0.068,0.007,10.207,0.069,0.008,0.068,0.004,1.01,1.15,PASS,rope_llama3_s1,8,3,base
0.071,0.007,9.613,0.075,0.008,0.068,0.004,1.06,1.03,PASS,rope_llama3_s1,8,4,base
0.009,0.006,1.384,0.01,0.007,0.008,0.006,1.07,1.08,PASS,rope_llama3_s1,8,4,new
