native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.085,0.012,6.903,0.089,0.018,0.082,0.007,1.05,1.5,PASS,rope_llama3_s1,1,0,base
0.083,0.013,6.495,0.107,0.016,0.079,0.007,1.3,1.22,PASS,rope_llama3_s1,1,1,base
0.086,0.012,7.034,0.213,8.063,0.078,0.007,2.48,660.5,PASS,rope_llama3_s1,1,2,base
0.083,0.014,6.037,0.109,0.016,0.078,0.007,1.32,1.17,PASS,rope_llama3_s1,1,3,base
0.081,0.011,7.222,4.149,0.071,0.077,0.007,51.08,6.36,PASS,rope_llama3_s1,1,4,base
0.086,0.013,6.797,0.106,0.017,0.082,0.007,1.23,1.38,PASS,rope_llama3_s1,8,0,base
0.089,0.012,7.698,4.159,0.067,0.079,0.007,46.67,5.79,PASS,rope_llama3_s1,8,1,base
0.079,0.011,7.345,0.108,0.013,0.077,0.006,1.36,1.19,PASS,rope_llama3_s1,8,2,base
0.082,0.011,7.189,0.102,0.013,0.079,0.006,1.25,1.11,PASS,rope_llama3_s1,8,3,base
0.091,0.012,7.69,0.134,0.014,0.084,0.007,1.48,1.21,PASS,rope_llama3_s1,8,4,base
0.084,0.013,6.699,0.143,0.019,0.08,0.006,1.7,1.48,PASS,rope_llama3_s1,16,0,base
0.08,0.011,7.423,5.149,0.065,0.075,0.006,64.19,5.98,PASS,rope_llama3_s1,16,1,base
0.082,0.012,7.133,4.18,0.06,0.079,0.006,50.84,5.17,PASS,rope_llama3_s1,16,2,base
0.079,0.011,7.363,0.105,0.013,0.071,0.006,1.33,1.19,PASS,rope_llama3_s1,16,3,base
0.075,0.01,7.408,0.095,0.011,0.073,0.006,1.27,1.13,PASS,rope_llama3_s1,16,4,base
0.098,0.019,5.093,0.132,0.043,0.093,0.013,1.35,2.25,PASS,rope_llama3_b8_s1,1,0,base
0.1,0.018,5.614,0.12,0.022,0.097,0.014,1.2,1.25,PASS,rope_llama3_b8_s1,1,1,base
0.097,0.018,5.291,0.115,0.023,0.094,0.014,1.18,1.23,PASS,rope_llama3_b8_s1,1,2,base
0.098,0.018,5.355,0.119,0.02,0.093,0.013,1.22,1.12,PASS,rope_llama3_b8_s1,1,3,base
0.097,0.019,5.174,0.149,0.024,0.093,0.013,1.53,1.28,PASS,rope_llama3_b8_s1,1,4,base
