native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
1.312,0.856,1.534,2.206,0.899,1.247,0.843,1.68,1.05,PASS,sm_bert_b8_s128,1,0,base
1.043,0.846,1.232,1.955,0.852,1.008,0.825,1.87,1.01,PASS,sm_bert_b8_s128,1,0,new
1.039,0.836,1.243,1.91,0.858,1.013,0.815,1.84,1.03,PASS,sm_bert_b8_s128,1,1,new
1.291,0.822,1.571,2.148,0.836,1.234,0.817,1.66,1.02,PASS,sm_bert_b8_s128,1,1,base
1.286,0.828,1.553,2.192,0.832,1.22,0.821,1.7,1.0,PASS,sm_bert_b8_s128,1,2,base
1.08,0.844,1.28,2.0,0.851,1.037,0.841,1.85,1.01,PASS,sm_bert_b8_s128,1,2,new
1.071,0.847,1.265,1.986,0.855,1.03,0.839,1.85,1.01,PASS,sm_bert_b8_s128,1,3,new
1.327,0.836,1.586,2.22,0.857,1.284,0.82,1.67,1.03,PASS,sm_bert_b8_s128,1,3,base
1.301,0.826,1.574,2.123,0.833,1.226,0.816,1.63,1.01,PASS,sm_bert_b8_s128,1,4,base
1.015,0.823,1.233,1.929,0.831,1.003,0.813,1.9,1.01,PASS,sm_bert_b8_s128,1,4,new
0.591,0.139,4.244,1.041,0.198,0.507,0.114,1.76,1.42,PASS,sm_bert_b8_s128,8,0,base
0.52,0.133,3.915,1.058,0.192,0.424,0.117,2.03,1.45,PASS,sm_bert_b8_s128,8,0,new
0.543,0.148,3.668,0.871,0.198,0.427,0.115,1.61,1.34,PASS,sm_bert_b8_s128,8,1,new
0.638,0.18,3.553,1.157,0.202,0.512,0.141,1.81,1.13,PASS,sm_bert_b8_s128,8,1,base
0.583,0.134,4.369,0.651,0.188,0.492,0.113,1.12,1.41,PASS,sm_bert_b8_s128,8,2,base
0.627,0.128,4.89,1.133,0.153,0.455,0.115,1.81,1.19,PASS,sm_bert_b8_s128,8,2,new
0.548,0.14,3.923,1.007,0.194,0.394,0.116,1.84,1.39,PASS,sm_bert_b8_s128,8,3,new
0.552,0.133,4.145,1.106,0.167,0.493,0.115,2.0,1.25,PASS,sm_bert_b8_s128,8,3,base
0.716,0.19,3.764,1.177,0.21,0.645,0.177,1.64,1.1,PASS,sm_bert_b8_s128,8,4,base
0.451,0.129,3.49,0.884,0.14,0.409,0.115,1.96,1.08,PASS,sm_bert_b8_s128,8,4,new
1.025,0.12,8.543,1.1,0.141,0.81,0.102,1.07,1.18,PASS,sm_bert_b8_s128,16,0,base
0.449,0.111,4.049,0.696,0.127,0.365,0.099,1.55,1.15,PASS,sm_bert_b8_s128,16,0,new
0.408,0.105,3.875,0.603,0.111,0.352,0.1,1.48,1.05,PASS,sm_bert_b8_s128,16,1,new
0.688,0.114,6.046,0.957,0.135,0.616,0.102,1.39,1.18,PASS,sm_bert_b8_s128,16,1,base
0.768,0.107,7.163,1.065,0.121,0.632,0.099,1.39,1.13,PASS,sm_bert_b8_s128,16,2,base
0.5,0.115,4.33,0.758,0.122,0.424,0.102,1.52,1.06,PASS,sm_bert_b8_s128,16,2,new
0.565,0.102,5.531,1.0,0.114,0.451,0.096,1.77,1.12,PASS,sm_bert_b8_s128,16,3,new
0.91,0.112,8.096,1.205,0.126,0.633,0.098,1.32,1.12,PASS,sm_bert_b8_s128,16,3,base
0.698,0.111,6.315,0.977,0.121,0.476,0.098,1.4,1.1,PASS,sm_bert_b8_s128,16,4,base
0.603,0.106,5.686,0.981,0.126,0.507,0.098,1.63,1.19,PASS,sm_bert_b8_s128,16,4,new
0.024,0.018,1.317,0.027,0.066,0.023,0.017,1.12,3.62,PASS,sm_decode_h32_kv1024,1,0,base
0.02,0.018,1.157,0.037,0.019,0.02,0.017,1.82,1.05,PASS,sm_decode_h32_kv1024,1,0,new
0.02,0.017,1.176,0.023,0.018,0.02,0.017,1.11,1.04,PASS,sm_decode_h32_kv1024,1,1,new
0.025,0.018,1.373,0.037,0.019,0.023,0.017,1.51,1.05,PASS,sm_decode_h32_kv1024,1,1,base
0.028,0.018,1.556,0.029,0.018,0.025,0.017,1.05,1.01,PASS,sm_decode_h32_kv1024,1,2,base
0.033,0.024,1.384,0.038,0.025,0.027,0.023,1.14,1.03,PASS,sm_decode_h32_kv1024,1,2,new
0.027,0.024,1.125,0.029,0.025,0.025,0.022,1.08,1.02,PASS,sm_decode_h32_kv1024,1,3,new
0.024,0.018,1.352,0.026,0.018,0.023,0.017,1.07,1.03,PASS,sm_decode_h32_kv1024,1,3,base
0.024,0.018,1.386,0.041,0.019,0.023,0.017,1.67,1.06,PASS,sm_decode_h32_kv1024,1,4,base
0.022,0.017,1.286,0.025,0.018,0.02,0.017,1.11,1.01,PASS,sm_decode_h32_kv1024,1,4,new
0.029,0.013,2.281,0.063,0.015,0.026,0.012,2.19,1.17,PASS,sm_decode_h32_kv1024,8,0,base
0.023,0.012,1.959,0.045,0.013,0.021,0.011,1.98,1.13,PASS,sm_decode_h32_kv1024,8,0,new
0.02,0.012,1.742,0.022,0.012,0.02,0.011,1.07,1.05,PASS,sm_decode_h32_kv1024,8,1,new
0.032,0.014,2.324,0.032,0.015,0.03,0.013,1.02,1.1,PASS,sm_decode_h32_kv1024,8,1,base
0.032,0.015,2.217,0.033,0.015,0.031,0.013,1.02,1.03,PASS,sm_decode_h32_kv1024,8,2,base
0.029,0.015,1.958,0.03,0.016,0.027,0.014,1.03,1.07,PASS,sm_decode_h32_kv1024,8,2,new
0.023,0.012,1.862,0.026,0.035,0.021,0.011,1.17,2.89,PASS,sm_decode_h32_kv1024,8,3,new
0.038,0.014,2.625,0.039,0.017,0.035,0.013,1.04,1.18,PASS,sm_decode_h32_kv1024,8,3,base
0.026,0.012,2.23,0.029,0.013,0.026,0.011,1.09,1.13,PASS,sm_decode_h32_kv1024,8,4,base
0.021,0.009,2.244,0.021,0.009,0.02,0.009,1.02,1.03,PASS,sm_decode_h32_kv1024,8,4,new
0.038,0.015,2.515,0.057,0.017,0.033,0.013,1.52,1.16,PASS,sm_decode_h32_kv1024,16,0,base
0.031,0.015,2.055,0.033,0.016,0.027,0.015,1.07,1.06,PASS,sm_decode_h32_kv1024,16,0,new
0.029,0.014,2.092,0.047,0.015,0.028,0.013,1.61,1.06,PASS,sm_decode_h32_kv1024,16,1,new
0.038,0.015,2.605,0.059,0.016,0.035,0.014,1.54,1.09,PASS,sm_decode_h32_kv1024,16,1,base
0.024,0.012,2.082,0.025,0.012,0.023,0.011,1.05,1.07,PASS,sm_decode_h32_kv1024,16,2,base
