native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
8.431,9.923,0.85,8.794,10.539,7.826,9.246,1.04,1.06,PASS,kvcat_llama3_b8_p2047,1,0,main
8.354,10.511,0.795,8.839,10.893,7.925,10.312,1.06,1.04,PASS,kvcat_llama3_b8_p2047,1,1,main
7.72,8.134,0.949,7.968,8.267,7.473,7.905,1.03,1.02,PASS,kvcat_llama3_b8_p2047,1,2,main
8.956,10.139,0.883,9.819,11.16,7.922,8.304,1.1,1.1,PASS,kvcat_llama3_b8_p2047,1,3,main
8.334,8.781,0.949,8.676,9.139,8.041,8.4,1.04,1.04,PASS,kvcat_llama3_b8_p2047,1,4,main
8.473,3.846,2.203,9.239,3.986,8.167,3.492,1.09,1.04,PASS,kvcat_llama3_b8_p2047,8,0,main
7.865,3.649,2.155,8.35,3.771,7.595,3.539,1.06,1.03,PASS,kvcat_llama3_b8_p2047,8,1,main
8.114,3.704,2.191,9.29,3.823,7.723,3.268,1.14,1.03,PASS,kvcat_llama3_b8_p2047,8,2,main
7.5,3.329,2.253,7.677,3.51,7.356,2.962,1.02,1.05,PASS,kvcat_llama3_b8_p2047,8,3,main
7.59,3.386,2.242,7.766,3.662,7.32,3.043,1.02,1.08,PASS,kvcat_llama3_b8_p2047,8,4,main
7.381,3.35,2.203,7.785,3.521,7.27,3.136,1.05,1.05,PASS,kvcat_llama3_b8_p2047,16,0,main
7.654,3.401,2.25,7.759,3.525,7.542,3.136,1.01,1.04,PASS,kvcat_llama3_b8_p2047,16,1,main
7.743,3.38,2.291,7.83,3.522,7.507,3.209,1.01,1.04,PASS,kvcat_llama3_b8_p2047,16,2,main
7.672,3.371,2.276,7.736,3.483,7.49,3.187,1.01,1.03,PASS,kvcat_llama3_b8_p2047,16,3,main
7.308,3.433,2.129,7.387,3.596,7.273,3.144,1.01,1.05,PASS,kvcat_llama3_b8_p2047,16,4,main
0.367,0.339,1.081,0.399,0.376,0.346,0.276,1.09,1.11,PASS,kvcat_llama3_p1023,1,0,main
0.358,0.35,1.022,0.371,0.373,0.338,0.263,1.04,1.07,PASS,kvcat_llama3_p1023,1,1,main
0.355,0.354,1.002,0.383,0.375,0.333,0.266,1.08,1.06,PASS,kvcat_llama3_p1023,1,2,main
0.339,0.351,0.966,0.36,0.372,0.318,0.263,1.06,1.06,PASS,kvcat_llama3_p1023,1,3,main
