native,ort,ratio,np90,op90,nmin,omin,nspread,ospread,parity,model,threads,trial,arm
0.006,0.004,1.299,0.006,0.005,0.005,0.004,1.07,1.03,PASS,rope_gptj_il_s1,1,0,base
0.006,0.004,1.307,0.006,0.004,0.005,0.004,1.04,1.05,PASS,rope_gptj_il_s1,1,0,hot
0.006,0.004,1.289,0.006,0.004,0.005,0.004,1.05,1.03,PASS,rope_gptj_il_s1,1,1,hot
0.006,0.004,1.302,0.006,0.005,0.005,0.004,1.04,1.06,PASS,rope_gptj_il_s1,1,1,base
0.006,0.004,1.311,0.006,0.005,0.005,0.004,1.06,1.07,PASS,rope_gptj_il_s1,1,2,base
0.006,0.004,1.311,0.006,0.004,0.005,0.004,1.05,1.03,PASS,rope_gptj_il_s1,1,2,hot
0.006,0.004,1.297,0.006,0.004,0.005,0.004,1.05,1.03,PASS,rope_gptj_il_s1,1,3,hot
0.006,0.004,1.285,0.006,0.005,0.005,0.004,1.04,1.07,PASS,rope_gptj_il_s1,1,3,base
0.006,0.004,1.283,0.006,0.005,0.005,0.004,1.06,1.05,PASS,rope_gptj_il_s1,1,4,base
0.006,0.004,1.307,0.006,0.005,0.005,0.004,1.04,1.05,PASS,rope_gptj_il_s1,1,4,hot
0.006,0.004,1.315,0.006,0.004,0.005,0.004,1.02,1.04,PASS,rope_gptj_il_s1,8,0,base
0.006,0.004,1.284,0.008,0.007,0.005,0.004,1.47,1.51,PASS,rope_gptj_il_s1,8,0,hot
0.008,0.006,1.333,0.009,0.006,0.008,0.006,1.05,1.05,PASS,rope_gptj_il_s1,8,1,hot
0.008,0.006,1.283,0.008,0.007,0.008,0.006,1.05,1.05,PASS,rope_gptj_il_s1,8,1,base
0.006,0.004,1.28,0.006,0.005,0.005,0.004,1.04,1.04,PASS,rope_gptj_il_s1,8,2,base
0.006,0.004,1.306,0.006,0.005,0.005,0.004,1.07,1.08,PASS,rope_gptj_il_s1,8,2,hot
0.006,0.004,1.277,0.006,0.005,0.005,0.004,1.06,1.06,PASS,rope_gptj_il_s1,8,3,hot
0.006,0.004,1.292,0.006,0.005,0.005,0.004,1.06,1.06,PASS,rope_gptj_il_s1,8,3,base
0.006,0.004,1.306,0.006,0.004,0.005,0.004,1.04,1.05,PASS,rope_gptj_il_s1,8,4,base
0.008,0.006,1.327,0.009,0.007,0.008,0.006,1.06,1.07,PASS,rope_gptj_il_s1,8,4,hot
0.006,0.004,1.292,0.006,0.005,0.005,0.004,1.07,1.05,PASS,rope_gptj_il_s1,16,0,base
0.006,0.004,1.327,0.008,0.007,0.005,0.004,1.47,1.51,PASS,rope_gptj_il_s1,16,0,hot
