accession,source,l2_norm,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7
P69905,hf,3.455605,0.065592,0.099490,0.008599,-0.172884,0.047783,-0.027189,-0.007351,-0.020065
P69905,onnx,3.455598,0.065592,0.099487,0.008600,-0.172881,0.047781,-0.027189,-0.007351,-0.020064
P68871,hf,2.872845,0.112325,0.008102,0.032605,-0.018543,0.030128,-0.018734,-0.005363,-0.003783
P68871,onnx,2.872857,0.112326,0.008099,0.032605,-0.018544,0.030129,-0.018735,-0.005363,-0.003780
P01308,hf,4.000048,0.093215,0.004259,-0.018694,-0.021132,0.059129,-0.011775,-0.018297,0.035810
P01308,onnx,4.000047,0.093214,0.004257,-0.018694,-0.021132,0.059128,-0.011774,-0.018298,0.035810
P00698,hf,3.579111,0.052096,0.007296,-0.014046,-0.011482,0.034184,-0.051488,0.016662,0.029861
P00698,onnx,3.579118,0.052096,0.007294,-0.014045,-0.011482,0.034185,-0.051487,0.016661,0.029862
