source,P69905,P68871,P01308,P00698
hf:P69905,1.000000,0.863097,0.832333,0.796800
hf:P68871,0.863097,1.000000,0.837596,0.862559
hf:P01308,0.832333,0.837596,1.000000,0.922735
hf:P00698,0.796800,0.862559,0.922735,1.000000
onnx:P69905,1.000000,0.863101,0.832336,0.796803
onnx:P68871,0.863101,1.000000,0.837602,0.862564
onnx:P01308,0.832336,0.837602,1.000000,0.922736
onnx:P00698,0.796803,0.862564,0.922736,1.000000
